排名,电影名,评分,评价人数,导演,年份,国家,链接
189,纵横四海,8.8,未知,吴宇森 John Woo,未知,未知,https://movie.douban.com/subject/1295409/
190,恐怖游轮,8.5,未知,克里斯托弗·史密斯 Christopher Smith,未知,未知,https://movie.douban.com/subject/3011051/
191,无敌破坏王,8.7,未知,瑞奇·莫尔 Rich Moore,未知,未知,https://movie.douban.com/subject/6534248/
192,芙蓉镇,9.3,未知,谢晋 Jin Xie,未知,未知,https://movie.douban.com/subject/1297880/
193,卢旺达饭店,8.9,未知,特瑞·乔治 Terry George,未知,未知,https://movie.douban.com/subject/1291822/
194,魔女宅急便,8.7,未知,宫崎骏 Hayao Miyazaki,未知,未知,https://movie.douban.com/subject/1307811/
195,牯岭街少年杀人事件,8.9,未知,杨德昌 Edward Yang,未知,未知,https://movie.douban.com/subject/1292329/
196,小偷家族,8.7,未知,是枝裕和 Hirokazu Koreeda,未知,未知,https://movie.douban.com/subject/27622447/
197,东京教父,9.0,未知,今敏 Satoshi Kon,未知,未知,https://movie.douban.com/subject/1310177/
198,冰川时代,8.7,未知,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,未知,未知,https://movie.douban.com/subject/1291578/
199,忠犬八公物语,9.2,未知,神山征二郎 Seijirô Kôyama,未知,未知,https://movie.douban.com/subject/1959195/
200,岁月神偷,8.7,未知,罗启锐 Alex Law,未知,未知,https://movie.douban.com/subject/3792799/
201,遗愿清单,8.7,未知,罗伯·莱纳 Rob Reiner,未知,未知,https://movie.douban.com/subject/1867345/
202,大佛普拉斯,8.7,未知,黄信尧 Hsin-yao Huang,未知,未知,https://movie.douban.com/subject/27059130/
203,白日梦想家,8.6,未知,本·斯蒂勒 Ben Stiller,未知,未知,https://movie.douban.com/subject/2133323/
204,源代码,8.6,未知,邓肯·琼斯 Duncan Jones,未知,未知,https://movie.douban.com/subject/3075287/
205,花束般的恋爱,8.6,未知,土井裕泰 Nobuhiro Doi,未知,未知,https://movie.douban.com/subject/34874432/
206,荒蛮故事,8.7,未知,达米安·斯兹弗隆 Damián Szifron,未知,未知,https://movie.douban.com/subject/24750126/
207,爱乐之城,8.4,未知,达米恩·查泽雷 Damien Chazelle,未知,未知,https://movie.douban.com/subject/25934014/
208,疯狂的麦克斯4：狂暴之路,8.7,未知,乔治·米勒 George Miller,未知,未知,https://movie.douban.com/subject/3592854/
209,可可西里,8.9,未知,陆川 Chuan Lu,未知,未知,https://movie.douban.com/subject/1308857/
210,你看起来好像很好吃,8.9,未知,藤森雅也 Masaya Fujimori,未知,未知,https://movie.douban.com/subject/4848115/
211,波西米亚狂想曲,8.6,未知,布莱恩·辛格 Bryan Singer,未知,未知,https://movie.douban.com/subject/5300054/
212,贫民窟的百万富翁,8.6,未知,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,未知,未知,https://movie.douban.com/subject/2209573/
213,城市之光,9.3,未知,查理·卓别林 Charles Chaplin,未知,未知,https://movie.douban.com/subject/1293908/
214,大红灯笼高高挂,8.8,未知,张艺谋 Yimou Zhang,未知,未知,https://movie.douban.com/subject/1293323/
215,爆裂鼓手,8.6,未知,达米恩·查泽雷 Damien Chazelle,未知,未知,https://movie.douban.com/subject/25773932/
216,哈利·波特与死亡圣器(上),8.6,未知,大卫·叶茨 David Yates,未知,未知,https://movie.douban.com/subject/2051007/
217,无耻混蛋,8.7,未知,昆汀·塔伦蒂诺 Quentin Tarantino,未知,未知,https://movie.douban.com/subject/1438652/
218,终结者2：审判日,8.8,未知,詹姆斯·卡梅隆 James Cameron,未知,未知,https://movie.douban.com/subject/1291844/
